coordinate,name,borough
"POINT(-73.81678346994171, 40.78815244048363)",14 AV OV BELT CROSS ISL PKWY,Queens
"POINT(-73.82615714925024, 40.75979346986441)",UNION ST OVER LIRR PORT WASH BR,Queens
"POINT(-73.81611636010126, 40.76254832987148)",149 ST BR OVR LIRR PORT WASH BR,Queens
"POINT(-73.90009437988503, 40.743127348304334)",65 STREET OVER LIRR,Queens
"POINT(-73.89208418942773, 40.742917689833284)",WOODSIDE AVE OVER CSX TRANSPORT,Queens
"POINT(-73.84692456827754, 40.67036293740125)",WHITELAW ST PEDESTRIAN,Queens
"POINT(-73.93118460874322, 40.714284752256745)",METROPOLITAN AVENUE,Brooklyn
"POINT(-73.92637826650677, 40.82048017668885)",GND CNCSE OV METRO N HDSN LINE,The Bronx
"POINT(-74.15703294978515, 40.63386360065345)",DE HART AVE OVER B&O RAILRD,Staten Island
"POINT(-73.99894475023616, 40.649171999742244)",7 AVENUE OVER NYCT YARD,Brooklyn
"POINT(-74.02602928082112, 40.64029905046202)",2 AVENUE OVER LIRR BAY RIDGE,Brooklyn
"POINT(-74.04081905162191, 40.63011094869236)",SHORE PKWY GREENWAY-80 ST PED,Brooklyn
"POINT(-73.96208283008812, 40.62900379007517)",15 ST FOOTBRIDGE,Brooklyn
"POINT(-73.97441486921457, 40.62760539996796)",EAST    3 ST OVER LIRR BAY RIDGE,Brooklyn
"POINT(-73.99596006011926, 40.624335399887755)",15 AVE BR OVR LIRR NYCT SEABCH,Brooklyn
"POINT(-74.03563055054612, 40.61066225946751)",4 AVENUE OVER BELT SHORE PKWY,Brooklyn
"POINT(-74.01912188974434, 40.603739510700166)",BAY    8 ST OVER BELT SHORE PKWY,Brooklyn
"POINT(-74.01175731417418, 40.60170197019225)",17 AV PEDESTRIAN,Brooklyn
"POINT(-73.9798086906056, 40.60100174043656)",AVENUE S OVER NYCT SEA BEACH,Brooklyn
"POINT(-73.99171480106999, 40.5876587179724)",27 AV PEDESTRIAN,Brooklyn
"POINT(-73.98571395982323, 40.58148618014492)",CROPSEY AVENUE BRIDGE NB RB,Brooklyn
"POINT(-73.98598633024964, 40.58139084002016)",CROPSEY AVENUE BRIDGE SB RB,Brooklyn
"POINT(-73.98246961982039, 40.78895757034853)",H HUDSON PKWY OVR RIVERSIDE PRK,Manhattan
"POINT(-73.83664365296013, 40.76263658211576)",FLUSHING,Queens
"POINT(-73.934275932126, 40.82800203010808)",MACOMBS DAM BRIDGE PEDESTRIAN,Manhattan
"POINT(-73.97503616182371, 40.71881021363687)",HOUSTON STREET OVER FDR DRIVE,Manhattan
"POINT(-73.97382425891792, 40.766922576796944)",E   62 ST PED BRDGE OVER THE PND,Manhattan
"POINT(-73.93149397004032, 40.84419199998088)",HRD RAMP TO GWB OVER HRD SB,Manhattan
"POINT(-73.92706544578265, 40.84649561797293)",WASHINGTON,The Bronx
"POINT(-73.92688313430749, 40.846433626541994)",WASHINGTON BR PED AND BIKE,The Bronx
"POINT(-73.9580216105277, 40.75848681229432)",KOCH BR PEDESTRIAN AND BIKE PATH,Manhattan
"POINT(-73.95061614358269, 40.755299567687125)",KOCH BR PEDESTRIAN AND BIKE,Queens
"POINT(-73.90398559933529, 40.767996680611695)",47 ST OVER GRAND CNTRL PARKWAY,Queens
"POINT(-73.90697699923383, 40.768657900164555)",44 ST OVER GRAND CNTRL PARKWAY,Queens
"POINT(-73.93356569314234, 40.81958142887044)",145 ST BRIDGE PED AND BIKE,Manhattan
"POINT(-73.933127752929, 40.80738730455513)",3 AV BRIDGE PED AND BIKE,Manhattan
"POINT(-73.80239925854023, 40.786084227728004)",160 ST BR OV BELT CROSS IS PKWY,Queens
"POINT(-73.93314181020845, 40.819480548636434)",145,Manhattan
"POINT(-73.94662833424147, 40.76387269046875)",ROOSEVELT IS,Manhattan
"POINT(-73.92798170799749, 40.84211032740364)",HIGH,The Bronx
"POINT(-73.81603416066326, 40.78788882683826)",149 ST BR OV BELT CROSS IS PKWY,Queens
"POINT(-73.92946799599785, 40.845657680171804)",ALEXANDER HAMILTON,Manhattan
"POINT(-73.88632525364005, 40.575841062819194)",MARINE,Brooklyn
"POINT(-73.93236490031313, 40.819507905087455)",145 STREET,The Bronx
"POINT(-73.93212917315464, 40.81947961779269)",145 ST BRIDGE PED AND BIKE,The Bronx
"POINT(-73.95808568715634, 40.75841793372374)",ED KOCH QUEENSBORO BR LOWER RDWY,Manhattan
"POINT(-73.82558759629337, 40.838127752827646)",WATERBURY-BAISLEY AVE PED,The Bronx
"POINT(-73.87419920569045, 40.824178673759825)",STRATFORD AVE PEDESTRIAN,The Bronx
"POINT(-73.97638285803387, 40.651396184467885)",GREENWOOD AVE PEDESTRIAN,Brooklyn
"POINT(-73.9279960868633, 40.804070080748154)",WILLIS AVENUE BRIDGE BIKE,The Bronx
"POINT(-73.99174378896677, 40.70964512806458)",MANHATTAN BRIDGE BIKE PATH,Manhattan
